"Булгаков_БелаяГвардия" "Булгаков_МастериМаргарита" "Иванов_Бронепоезд1469" "Иванов_ГолубыеПески" "Крюков_ГруппаБ" "Крюков_Зыбь" "Крюков_КисточникуИсцелений" "Крюков_Мать" "Крюков_Шквал" "Леонов_Барсуки" "Леонов_Вор" "Островский_КакЗакалялась1" "Островский_КакЗакалялась2" "Платонов_Котлован" "Платонов_Чевенгур" "Платонов_ЮвенильноеМоре" "Севский_ДонНаКостылях" "Серафимович_ЖелезныйПоток1" "Серафимович_ЖелезныйПоток2" "Фадеев_Разгром" "Фурманов_Чапаев" "Шолохов_ДонскиеРассказы" "Шолохов_ОниСражалисьЗаРодину" "Шолохов_ПоднятаяЦелина1" "Шолохов_ПоднятаяЦелина2" "Шолохов_СудьбаЧеловека" "Dubia_ТихийДон1" "Dubia_ТихийДон2" "Dubia_ТихийДон3" "Dubia_ТихийДон4"
"я" 0.554178618173717 0.762508116455785 0.293976481881449 0.753728794261642 0.355475382003396 0.404251453488372 0.339578454332553 0.345996328202231 0.512397411958834 0.581587196832206 0.621819943025878 0.73030542093993 0.711032107543606 0.628144356879053 0.568368316489591 0.566236502501975 0.162612643133004 0.272979504161819 0.162321193060769 0.563342796309439 0.366326850312101 0.691930163327701 0.791623036649215 1.004615540433 1.14960909737029 2.03100915767522 0.554183929725663 0.393068646259071 0.441020385755591 0.723914906880698
"к" 0.506836726168927 0.613340820946598 0.593952483801296 0.642149607195719 0.435059422750424 0.572311046511628 0.526932084309134 0.69905380595961 0.573190325242086 0.617678600890942 0.617132858028195 0.910627747097938 0.703625523090027 0.497280949195917 0.444847542541246 0.482837327714863 0.433633715021343 0.398281571645932 0.350005072537283 0.63653300212917 0.645892078181862 0.799972414744319 0.592670157068063 0.654471093791447 0.608564321250888 0.625623356605313 0.783062952327467 0.747560263574944 0.760348424404348 0.797942803709187
"по" 0.59316605864825 0.46856079883474 0.617950563954884 0.648980985995673 0.578310696095076 0.563226744186046 0.550351288056206 0.501341618415478 0.603586781883712 0.559932354396964 0.667649218558773 0.484616251549645 0.520312557863941 0.453659813301538 0.456076703809277 0.566236502501975 1.18571718951148 0.863689250872639 0.700010145074566 0.552253371185238 0.718193430217145 0.765490845143271 0.691099476439791 0.653988801165219 0.656538734896944 0.634690361773506 0.72372394646774 0.656852114438235 0.721919262160085 0.591443933608665
"его" 0.501267091815422 0.603688819472474 0.401967842572594 0.396219970397359 0.355475382003396 0.613190406976744 0.585480093676815 0.515463917525773 0.586217378088497 0.564057086289391 0.603071603035148 0.676208723092528 0.72029033811058 0.712478552941519 0.663384296449858 0.324817838644544 0.413307134629717 0.264029356484382 0.238409252308004 0.909332860184528 0.430193044609934 0.332172453823431 0.510994764397906 0.598042856522767 0.578358208955224 0.408015232568683 0.529812552318989 0.619317707898907 0.607546755480731 0.57585911322372
"у" 0.64050795065304 0.463296070757945 1.18190544756419 0.869862233860868 0.509337860780985 0.499636627906977 0.503512880562061 0.663748058183872 0.325676321160276 0.581587196832206 0.543181072509205 0.719035275555055 0.620301447987261 0.337336784249862 0.499265785609398 0.41260644368361 0.420082661426926 0.604134968226976 0.568124175712691 0.521202980837473 0.512134576916588 0.685033849407492 0.594764397905759 0.611547050057152 0.656538734896944 0.634690361773506 0.525574051900438 0.483776795395779 0.478534567946419 0.503389698433725
"за" 0.449747974045504 0.45188915992489 0.473962083033357 0.519184788796539 0.684422750424448 0.635901162790698 0.462529274004684 0.586075413077249 0.49502800816362 0.521778584392015 0.598384518037465 0.671700664938578 0.557345480131837 0.325704481344694 0.28936684806081 0.254586954613291 0.650450572532014 0.671261075807751 0.684792533225119 0.56556068133428 0.58323090641795 0.7861797869039 0.531937172774869 0.602383490158819 0.559701492537313 0.607489346268927 0.635775062782788 0.53695053799316 0.575522453610511 0.566508220992753
"ты" 0.208861288256426 0.23428039941737 0.323974082073434 0.280086530798133 0.11141765704584 0.358829941860465 0.216627634660422 0.289507131761051 0.191063441747362 0.527965682230655 0.323408864840092 0.437281640933168 0.344406177091434 0.581615145258383 0.520860326509458 0.421385304187516 0.0406531607832509 0.205853396581044 0.0862331338135335 0.328246983676366 0.175933289952522 0.585037297564452 0.789528795811518 0.918285160338184 1.03322672352523 0.471484268746033 0.473652421773177 0.43581616481775 0.460234966877722 0.66391334839866
"из" 0.470634102871146 0.529105171717881 0.46796256299496 0.480473642263464 0.41383701188455 0.376998546511628 0.427400468384075 0.550769665301511 0.334361023057884 0.451658142220756 0.502038881973992 0.484616251549645 0.605488279080102 0.372233692965365 0.411160058737151 0.513563339478536 0.684328206518057 0.478832900742862 0.461600892766562 0.42583392476934 0.367531872846022 0.544808799696562 0.416753926701571 0.50881872067058 0.463752665245203 0.571221325596156 0.499083424284488 0.593252147802152 0.600226915053252 0.542351749396088
"от" 0.270127266144978 0.335187687555938 0.323974082073434 0.384834339064101 0.318336162988115 0.431504360465116 0.281030444964871 0.458974721084593 0.37778453254592 0.372257053291536 0.448397798111626 0.480108193395695 0.43143354442099 0.599063599616134 0.618467651377732 0.561847072250022 0.271021071888339 0.393806497807214 0.355077609820432 0.401437189496097 0.345841467235437 0.431019620013103 0.540314136125654 0.450461312896987 0.466417910447761 0.453350258409647 0.476831297087091 0.456668612895154 0.458405006770852 0.46520688849061
"но" 0.472026511459523 0.625625186459119 0.299976001919846 0.120687692132529 0.631366723259762 0.667696220930233 0.456674473067916 0.522525067080921 0.642667940422945 0.348539844910081 0.389548842029612 0.500394455088471 0.542532311224679 0.526361706458836 0.551956465405545 0.377491001667983 0.460735822210177 0.313255168710284 0.410875519935072 0.503459900638751 0.436218157279541 0.25286484374102 0.515183246073298 0.483257211480494 0.528606965174129 0.562154320427963 0.197090269462664 0.316957210776545 0.400761263404458 0.400529883893088
